index, sex, mstatus, age, children, occupation, education, income, avbal, avtrans,
2864,M,married,34.9,3,legal,secondary,662.02,22860.18,1704.83,
2865,F,divorced,67.9,2,retired,postgrad,3340.76,5147.43,1197.56,
2866,M,married,52.46,0,medicine,secondary,3483.91,33683.22,1394.3,
2867,M,divorced,39.16,0,medicine,tertiary,8949.56,32211.92,3074.38,
2868,M,married,39.66,1,IT,postgrad,13771.67,31015.06,4932.97,
2869,F,divorced,43.78,2,manuf,secondary,3396.87,9910.66,513.47,
2870,F,single,26.8,0,medicine,secondary,3093.9,15060.72,821.56,
2871,M,married,56.41,1,legal,secondary,1791.56,19498.5,2493.83,
2872,M,married,28.36,1,government,secondary,4275.57,17762.56,799.84,
2873,M,married,47.23,4,finance,secondary,2473.38,7160.52,1112.9,
2874,F,widowed,59.48,2,government,secondary,2447.26,11797.72,1103.34,
2875,F,married,40.86,1,IT,secondary,1034.66,21989.3,516.93,
2876,M,married,56.64,0,IT,postgrad,10320.35,17357.6,4676.52,
2877,F,single,22.22,0,government,postgrad,7971.01,25108.56,2688.11,
2878,M,married,60.14,2,finance,postgrad,8809.64,30225.27,4295.54,
2879,F,divorced,38.46,3,legal,secondary,3186.19,6659.38,2663.85,
2880,M,married,27.17,1,IT,secondary,1761.16,6331.94,1187.82,
2881,M,married,32,0,medicine,secondary,2843.02,8365.08,1766.99,
2882,M,married,37.32,2,legal,postgrad,9997.93,40038.77,3658.36,
2883,F,single,26.65,0,finance,postgrad,9017.27,31691.01,3251.98,
2884,F,married,61.49,2,manuf,postgrad,7976.12,22422.22,2982.84,
2885,F,married,27.08,2,finance,secondary,1184.67,15279.09,1203.08,
2886,M,married,25.45,0,construct,secondary,1184.67,15279.09,1203.08,
2887,M,married,34.02,2,finance,professional,9047.15,45180.98,4661.07,
2888,F,divorced,63.86,1,IT,secondary,3068.23,6881.11,1291.89,
2889,F,single,39.09,0,government,secondary,3157.99,12005.98,379.57,
2890,M,married,22.61,3,education,postgrad,7126.12,4512.44,3164.08,
2891,M,divorced,44.71,2,legal,secondary,1874.17,28330.65,2363.1,
2892,F,married,46.26,0,manuf,secondary,2559.3,13315.56,718.31,
2893,M,married,34.04,1,education,postgrad,8473.9,12133.3,1404,
2894,F,married,39.41,3,construct,tertiary,8473.9,12133.3,1404,
2895,M,married,39.05,0,government,tertiary,4918.97,13608.42,1316.18,
2896,F,single,27.92,0,manuf,secondary,2689.39,14889.8,593.5,
2897,F,single,22.73,0,manuf,tertiary,3731.3,19103.99,1971.16,
2898,F,single,29.26,0,construct,secondary,3731.3,19103.99,1971.16,
2899,M,single,19.79,0,education,secondary,2347.05,14298.75,859.05,
2900,F,divorced,29.13,1,education,secondary,2190.2,15952.87,660.2,
2901,F,single,39.71,0,education,tertiary,4986.07,35156.51,1743.65,
2902,F,single,20.34,0,IT,postgrad,9447.91,44678.77,2778.65,
2903,M,single,25.32,0,government,postgrad,5456.38,14188.07,1280.34,
2904,M,married,27.86,2,government,tertiary,4945.93,35487.38,783.7,
2905,F,married,54.96,3,government,secondary,1630.14,10782.89,680.33,
2906,M,single,27.93,0,construct,tertiary,1630.14,10782.89,680.33,
2907,F,married,23.89,2,construct,postgrad,1630.14,10782.89,680.33,
2908,M,married,39.98,2,construct,secondary,1630.14,10782.89,680.33,
2909,F,divorced,39.08,2,finance,tertiary,3231.53,11954.25,2493.16,
2910,M,married,41.13,1,finance,tertiary,6131.37,11586.36,3415.5,
2911,F,single,27.17,0,IT,tertiary,5948.91,35500.45,1660.04,
2912,F,married,47.5,2,legal,secondary,2961.09,14832.21,1692.57,
2913,F,married,48.27,4,construct,tertiary,2961.09,14832.21,1692.57,
2914,F,single,19.85,0,construct,professional,2961.09,14832.21,1692.57,
2915,F,married,49.3,3,IT,professional,8852.91,43655.42,4866.17,
2916,F,married,40.96,1,government,tertiary,7439.03,27763.75,1477.5,
2917,M,married,39.99,0,manuf,tertiary,7564.37,21530.31,1200.08,
2918,M,divorced,27.43,1,legal,tertiary,8152.68,38831.16,2533.63,
2919,F,single,47.03,0,legal,secondary,3358.84,13189.27,1792.15,
2920,M,divorced,45.37,1,education,tertiary,3773.91,15099.21,1082.29,
2921,F,single,29.15,0,legal,postgrad,7805.09,37321.12,4500.11,
2922,F,married,30.12,1,government,postgrad,7874.84,18238.56,3298.11,
2923,M,single,33.66,0,government,tertiary,4956.34,24452.52,929.64,
2924,F,married,20.85,3,finance,tertiary,6023.67,30766.72,2300.04,
2925,M,divorced,29.05,2,manuf,postgrad,7964.13,24614.53,1033.51,
2926,F,married,40.06,1,medicine,secondary,565.3,33930.54,2115.66,
2927,F,widowed,85.93,2,retired,tertiary,2809.2,14911.57,761.57,
2928,F,single,25.83,0,finance,tertiary,8263.5,22434.99,1326.65,
2929,M,married,38.67,1,education,postgrad,5578.39,23980.05,1857.07,
2930,M,divorced,43.41,1,construct,tertiary,5578.39,23980.05,1857.07,
2931,M,single,24.77,0,manuf,postgrad,3922.88,22386.86,1313.52,
2932,F,widowed,70.66,0,retired,professional,3568.3,30176.26,1165.87,
2933,M,single,32.1,0,government,tertiary,5229.11,4591.76,1840.76,
2934,M,divorced,44.76,2,construct,postgrad,5229.11,4591.76,1840.76,
2935,F,single,31.78,0,finance,postgrad,4720.01,24874.8,2201.42,
2936,M,married,33.37,0,education,secondary,1362.95,14551.34,567.97,
2937,M,widowed,63.18,2,manuf,professional,4077.9,28605.21,4001.5,
2938,M,divorced,62.72,1,legal,secondary,3004.44,14117.96,1805.71,
2939,M,single,33.17,0,manuf,secondary,3747.12,12409.66,494.48,
2940,F,divorced,45.23,2,finance,tertiary,4018.89,10024.59,1886.21,
2941,M,single,18.74,0,IT,tertiary,5161.07,30144.7,1704.29,
2942,F,married,30.99,1,IT,professional,4417.15,33432.72,5151.23,
2943,F,divorced,44.89,0,education,professional,6355.02,41418.62,3012.7,
2944,M,widowed,60.13,1,finance,secondary,1251.13,15437.63,1659.21,
2945,F,married,36.09,2,education,secondary,1996.79,16279.95,115.23,
2946,M,married,23.08,4,government,secondary,2257.86,3097.78,1243.21,
2947,M,single,30.29,0,government,tertiary,4421.18,32709.99,1478.11,
2948,F,widowed,64.52,3,manuf,professional,15128.5,53235.94,1745.46,
2949,F,divorced,56.4,2,legal,postgrad,10752.93,40000.89,5818.68,
2950,M,single,23.98,0,medicine,secondary,2946.32,19042.33,1126.83,
2951,M,single,27.75,0,finance,postgrad,9498.67,47118.65,4224.75,
2952,M,single,39.4,0,finance,secondary,1211.61,17799.7,1150.47,
2953,F,married,43.81,1,IT,professional,17196.96,33994.86,5536.62,
2954,M,single,24.22,0,finance,tertiary,5674.3,24011.28,433.25,
2955,M,married,21.98,3,manuf,tertiary,5520.72,20011.7,1170.59,
2956,F,single,45.19,0,finance,secondary,1354.87,22757.2,632.17,
2957,M,single,25.76,0,government,tertiary,4992.98,32763.1,2058.12,
2958,M,single,21.37,0,manuf,secondary,2013.18,10783.94,482.34,
2959,M,married,27.43,1,government,secondary,3317.86,11498.88,635.48,
2960,F,married,39.89,0,government,tertiary,4857.8,2464.97,1332.69,
2961,F,married,40.19,4,finance,secondary,1691.79,14634.09,737.15,
2962,M,married,38.39,2,legal,postgrad,9716.73,40142.47,4163.75,
2963,F,married,31.38,1,IT,tertiary,5941.22,33316.44,2415.98,
2964,M,single,39.22,0,IT,tertiary,8498.74,22935.48,3146.4,
2965,F,married,46.82,2,IT,tertiary,6943.69,27209.5,2960.62,
2966,F,divorced,36.29,0,finance,secondary,2122.76,14732.21,1087.02,
2967,F,married,21.22,2,legal,secondary,3929.61,11983.94,891.15,
2968,F,married,41.35,2,medicine,secondary,2858.12,20044.93,2709.7,
2969,M,single,20.73,0,government,tertiary,4646.57,22317.46,1500.4,
2970,F,single,27.53,0,government,tertiary,4179.11,17251.51,2473.76,
2971,M,widowed,64.09,3,government,postgrad,12973.67,31132.53,2433.15,
2972,M,divorced,49.59,0,construct,postgrad,12973.67,31132.53,2433.15,
2973,F,married,24.56,1,education,tertiary,5552.96,15985.06,425.65,
2974,F,divorced,55.31,1,medicine,secondary,2975.27,11147.56,946.2,
2975,M,married,28.66,2,legal,secondary,2991.12,33369.45,1816.42,
2976,M,married,30.03,2,medicine,tertiary,2724.88,41304.98,3190.64,
2977,M,married,48.02,3,manuf,tertiary,4320.24,3157.18,2130.23,
2978,F,single,45.97,0,medicine,postgrad,9017.96,16336.48,3570.99,
2979,F,married,39.7,1,government,tertiary,5139.22,21477.92,1683.46,
2980,F,single,29,0,legal,secondary,512.55,12713.74,1498.65,
2981,F,divorced,48.78,0,manuf,secondary,4253.67,13825.71,1289.26,
2982,F,widowed,60,3,IT,professional,17748.42,50828.7,3350.63,
2983,M,divorced,30.94,3,manuf,secondary,3093.92,11481.82,908.87,
2984,F,divorced,42.94,2,IT,secondary,798.78,9941.83,684.96,
2985,M,single,32.98,0,education,secondary,1997.52,20579.58,329.45,
2986,F,married,24.38,3,government,tertiary,3735.12,4998.33,1961.81,
2987,M,married,65.19,1,retired,tertiary,4540.72,22514.92,341.18,
2988,F,married,62.57,0,government,postgrad,7976.14,7195.28,1624,
2989,F,divorced,32.89,3,finance,tertiary,6009.15,25687.71,2346.06,
2990,M,married,24.29,3,finance,tertiary,7513.79,27563.19,2821.53,
2991,M,divorced,45.22,1,medicine,tertiary,7503.07,13007.37,2629.66,
2992,F,divorced,52.74,2,construct,tertiary,7503.07,13007.37,2629.66,
2993,M,married,40.7,3,medicine,professional,4692.3,60126.63,5769.39,
2994,F,divorced,44.99,2,legal,secondary,2688.03,17997.93,1611.68,
2995,M,widowed,74.21,2,retired,tertiary,4366.68,14686.29,407.42,
2996,F,married,37.75,0,government,tertiary,4147.79,15237.22,1258.4,
2997,F,married,40.01,0,IT,secondary,613.86,24646.58,1210.49,
2998,M,divorced,74.72,1,retired,tertiary,3256.18,19672.33,1660.06,
2999,M,married,39.93,0,medicine,postgrad,15575.95,40445.54,4598.42,
3000,F,widowed,52.3,1,education,tertiary,4144.9,31970.98,1407.7,
3001,F,widowed,62.66,1,construct,secondary,4144.9,31970.98,1407.7,
3002,F,divorced,34.58,2,government,tertiary,7852.21,13519.14,859.74,
3003,F,widowed,59.25,3,government,tertiary,4998.03,18478.28,714.99,
3004,F,single,28.27,0,manuf,secondary,2504.51,18631.54,795.12,
3005,F,widowed,60,1,construct,secondary,2504.51,18631.54,795.12,
3006,F,single,32.5,0,IT,tertiary,9329.11,12677.43,1909.74,
3007,F,single,25.09,0,IT,postgrad,7426.6,38999.46,4284.35,
3008,F,single,28.01,0,government,tertiary,5855.72,35563.15,2085.36,
3009,F,single,25.73,0,government,postgrad,3800.36,24994.75,2497.24,
3010,F,married,48.74,1,legal,professional,11965.38,62801.13,6108.9,
3011,F,married,49.49,1,finance,postgrad,8995.09,28266.51,2490.25,
3012,F,married,49.56,1,finance,postgrad,14919.37,45894.12,2738.41,
3013,F,single,32.5,0,legal,postgrad,10461.23,27532.21,4988.91,
3014,F,married,39.97,3,IT,tertiary,8495.34,34621.38,837.37,
3015,M,single,32.72,0,manuf,secondary,2092.88,16853.34,864.19,
3016,M,married,23.14,1,finance,postgrad,14121.98,46152.95,4610.7,
3017,F,divorced,45.26,2,education,postgrad,6000.1,32186.61,1988.44,
3018,F,married,38,2,education,secondary,1927.81,12341.25,474.68,
3019,F,married,38.24,1,medicine,postgrad,10541.32,34342.97,3178.71,
3020,F,single,26.42,0,finance,tertiary,6022.14,23818.45,1236.9,
3021,F,widowed,42.58,2,manuf,postgrad,6455.39,16351.19,1795.72,
3022,F,widowed,45.55,1,government,tertiary,5001.01,18308.2,1034.56,
3023,M,divorced,40.71,2,legal,secondary,2198.43,21345.17,1684.07,
3024,F,married,26.12,3,medicine,tertiary,7587.65,34620.2,2768.99,
3025,M,single,28,0,construct,secondary,7587.65,34620.2,2768.99,
3026,M,single,19.87,0,legal,tertiary,6109.41,30874.21,1915.38,
3027,M,married,39.77,1,manuf,postgrad,10056.41,25650.24,2800.73,
3028,F,married,43.04,2,manuf,tertiary,7026.53,18793.17,1590.1,
3029,M,married,41.58,3,IT,tertiary,7816,31363.54,3237.41,
3030,F,single,19.1,0,construct,tertiary,7816,31363.54,3237.41,
3031,M,married,21.53,1,government,tertiary,2495.91,19678.32,1914.03,
3032,F,widowed,89.58,3,retired,secondary,1369.66,15590.57,457.79,
3033,M,divorced,71.32,0,retired,tertiary,3824.22,15794.31,643.1,
3034,M,single,28.41,0,legal,tertiary,7908.91,19077.52,2500.47,
3035,M,divorced,57.41,3,medicine,professional,14097.64,36807.15,3485.4,
3036,F,single,30.12,0,government,tertiary,3298.39,22316.07,1951.09,
3037,M,single,26.64,0,education,tertiary,6026.88,30327.9,999.99,
3038,F,married,34.39,1,medicine,secondary,2592.05,19997.06,1809.98,
3039,M,married,33.94,2,legal,tertiary,6983.69,30828.24,1932,
3040,M,single,34.66,0,education,tertiary,2153.14,5827.05,612.46,
3041,M,married,42.07,0,finance,secondary,3291.29,7476.75,1471.06,
3042,M,single,18.57,0,government,tertiary,4988.51,8184.41,2319.54,
3043,F,single,25.1,0,construct,secondary,4988.51,8184.41,2319.54,
3044,M,single,27.53,0,construct,tertiary,4988.51,8184.41,2319.54,
3045,M,married,39.85,1,manuf,tertiary,2802.35,23062.5,1066.32,
3046,M,married,38.44,1,finance,professional,10993.96,49980.02,4989.38,
3047,M,single,37.82,0,education,postgrad,6217.53,15057.06,2458.2,
3048,M,married,39.38,0,manuf,postgrad,8002.43,7103.92,3527.28,
3049,M,single,23.11,0,government,professional,4514.67,39165.89,2967.05,
3050,F,single,26.72,0,government,tertiary,4257.93,17127.21,1522.72,
3051,M,single,28.09,0,education,secondary,2002.08,11994.77,1091.52,
3052,M,married,51.57,1,finance,postgrad,10571.91,32363.95,3532.3,
3053,F,married,66.6,2,retired,secondary,1482.38,5450.84,853.58,
3054,M,single,34.69,0,construct,professional,1482.38,5450.84,853.58,
3055,M,divorced,70.1,2,retired,professional,5589.46,29985.32,1347.66,
3056,M,married,40,1,manuf,secondary,3430.87,12355.67,787.81,
3057,M,single,23.08,0,finance,tertiary,7185.15,24141.07,2024.35,
3058,F,divorced,40.49,2,government,secondary,4072.16,13718.84,1099.3,
3059,F,divorced,58.24,2,construct,tertiary,4072.16,13718.84,1099.3,
3060,M,married,44.24,2,government,postgrad,4265.34,12010.12,2609.03,
3061,M,single,28.56,0,government,secondary,3090.52,11676.57,446.8,
3062,M,married,33.91,2,education,postgrad,6501.68,39338.04,1427.04,
3063,F,single,27.13,0,manuf,secondary,3637.12,9411.57,499.75,
3064,M,married,46.09,1,government,postgrad,6133.63,13400.21,2333.46,
3065,F,single,28.18,0,construct,tertiary,6133.63,13400.21,2333.46,
3066,M,single,38.57,0,construct,tertiary,6133.63,13400.21,2333.46,
3067,F,divorced,50.38,2,finance,postgrad,9787.32,26134.23,1998.84,
3068,M,single,28.94,0,finance,postgrad,8873.24,28933.14,2742.77,
3069,F,single,23.43,0,government,tertiary,3261.68,5692.88,1387.06,
3070,F,widowed,40.3,0,finance,professional,12204.85,34284.45,6722.29,
3071,M,single,39.48,0,legal,tertiary,3499.78,25755.09,1574.72,
3072,F,married,35.12,2,manuf,secondary,1323.83,17054.42,940.42,
3073,M,single,30.54,0,manuf,secondary,3669.12,6926.68,1323.88,
3074,F,single,28.8,0,legal,secondary,2107.61,20586.91,1670.84,
3075,F,married,50.84,1,manuf,postgrad,11706.11,7841.03,2509.07,
3076,M,married,40.01,3,manuf,secondary,3158.46,12163.79,227.6,
3077,M,married,40.01,2,manuf,secondary,3914.54,15039.97,220.87,
3078,F,married,49.2,2,government,secondary,2974.79,11730.42,899.37,
3079,F,married,39.79,2,education,postgrad,3850.32,19128.27,2956.02,
3080,F,single,39.8,0,government,professional,4603.56,29973.61,4004.31,
3081,M,single,30.08,0,finance,tertiary,4880.34,24297.79,3113.08,
3082,F,single,25.09,0,finance,secondary,1261.93,11523.67,2198.23,
3083,M,married,40,0,legal,postgrad,8192.71,39999.23,5747.33,
3084,F,single,24.28,0,education,professional,5218.82,55185.81,2521.92,
3085,F,widowed,84.12,1,retired,secondary,692.33,3542.3,667.19,
3086,M,divorced,45.08,0,finance,tertiary,6077.78,27040.64,2451.64,
3087,M,single,38.52,0,government,secondary,2075.1,7887.71,1194.6,
3088,F,single,27.98,0,IT,tertiary,5839,35541.47,948.92,
3089,F,single,18.17,0,finance,professional,10842.49,35884.89,4905.22,
3090,F,divorced,62.06,1,finance,tertiary,5938.61,26017.21,1677.16,
3091,F,single,24.74,0,IT,secondary,2416.86,16485.31,1704.09,
3092,M,single,43.29,0,finance,tertiary,6767.44,24107.68,2819.24,
3093,M,widowed,42.86,0,manuf,secondary,2077.53,11729.29,1184.1,
3094,F,divorced,35.79,1,finance,tertiary,9416.58,22567.64,1518.85,
3095,M,married,25.43,0,IT,secondary,555.25,21757.27,1214.61,
3096,F,divorced,43.94,2,government,tertiary,7452.3,8284.2,1388.46,
3097,M,widowed,67.46,0,retired,postgrad,2429.83,17991.25,1149.34,
3098,F,single,27.45,0,IT,tertiary,2456.41,23404.98,1059.42,
3099,F,married,40,0,manuf,tertiary,5479.3,2106.13,1558.8,
3100,M,married,29.49,1,finance,secondary,1724.06,17633.15,1058.18,
3101,F,married,35.03,0,legal,postgrad,9580.19,50050.05,5758.28,
3102,F,divorced,44.99,3,construct,postgrad,9580.19,50050.05,5758.28,
3103,F,single,33.6,0,legal,tertiary,8619.05,15165.83,2961.67,
3104,M,single,45.61,0,legal,tertiary,8085.71,19490.78,1069.84,
3105,M,single,28.07,0,finance,postgrad,6796.25,30299.3,2946.27,
3106,F,married,40.64,2,education,tertiary,3972.26,11362.68,1072.07,
3107,M,married,62.76,0,IT,postgrad,5177.74,16333.35,2976.49,
3108,F,married,60.11,0,legal,tertiary,9028.28,42798.99,3352.24,
3109,F,single,31.16,0,manuf,tertiary,5091.16,28228.04,1819.51,
3110,M,married,43.23,2,manuf,secondary,4272.08,4298.22,767.03,
3111,F,married,40.02,0,medicine,secondary,3081.27,24924.56,1855.89,
3112,F,divorced,44.06,0,finance,postgrad,10270,14216.48,3368.11,
3113,M,single,19.33,0,medicine,secondary,3303.93,32621.04,1998.12,
3114,F,divorced,49.62,2,IT,postgrad,13644.96,30653.63,2238.97,
3115,M,widowed,46.91,0,government,tertiary,5395.21,23948.15,2170.09,
3116,M,married,54.21,0,legal,secondary,2668.68,27595.95,2024.6,
3117,M,single,21.45,0,construct,secondary,2668.68,27595.95,2024.6,
3118,M,single,27.19,0,construct,postgrad,2668.68,27595.95,2024.6,
3119,M,divorced,38.67,0,government,secondary,3035.74,2210.27,1257.92,
3120,M,divorced,59.74,0,finance,postgrad,10509.97,25646.21,1087.24,
3121,M,widowed,81.01,0,retired,postgrad,4001.01,19041.29,1192.6,
3122,M,single,25.94,0,manuf,secondary,3929.37,7927.93,1069.61,
3123,F,married,65.22,2,retired,postgrad,5137.29,11790.67,1678.23,
3124,M,divorced,47.52,2,IT,tertiary,6750.55,24039.95,2966.23,
3125,M,single,37.98,0,government,tertiary,6620.38,23541.79,2184.35,
3126,M,married,35.48,3,finance,postgrad,7234.01,22949.85,3906.14,
3127,F,married,40.03,2,medicine,secondary,2869.23,20000.6,2192.15,
3128,M,widowed,59.89,2,manuf,tertiary,5012.08,20354.57,1583.59,
3129,F,married,28.44,1,IT,tertiary,9692.85,24417.25,3595.77,
3130,F,married,25.35,2,finance,tertiary,9598.42,28998.7,3382.92,
3131,M,single,36.45,0,legal,secondary,2799.95,12073.64,1805.82,
3132,M,single,21.69,0,IT,tertiary,7204.37,21950.87,2326.22,
3133,M,divorced,65.95,1,retired,tertiary,3593.11,3371,987.78,
3134,M,divorced,45,1,legal,postgrad,9627.86,43917.44,5936.68,
3135,F,divorced,37.16,0,IT,postgrad,9305.9,35464.91,3320.64,
3136,F,married,33.36,3,construct,tertiary,9305.9,35464.91,3320.64,
3137,F,single,22.79,0,medicine,tertiary,5604.65,47311.22,2492.98,
3138,F,divorced,44.96,2,finance,secondary,2400.02,14943.01,1273.11,
3139,F,married,46.57,1,manuf,secondary,2831.86,14840.94,1130.79,
3140,F,married,47.76,2,construct,tertiary,2831.86,14840.94,1130.79,
3141,M,single,26.06,0,IT,tertiary,6033.75,27262.9,1511.88,
3142,M,married,23.31,2,medicine,secondary,2880.73,20074.72,2677.53,
3143,F,divorced,35.14,2,manuf,tertiary,7056.43,19952.74,1188.2,
3144,F,married,45.6,1,IT,postgrad,6412.3,28489,2035.67,
3145,M,single,20.05,0,government,tertiary,5437.25,15965.57,1547.13,
3146,M,married,55.63,1,finance,tertiary,3467.44,17284.07,2618.49,
3147,M,single,27.73,0,manuf,postgrad,6887.98,28523.57,3847.55,
3148,F,widowed,41.99,3,legal,tertiary,10434.45,42015.61,3530.62,
3149,F,single,27.98,0,finance,secondary,1224.56,25944.65,997.3,
3150,M,married,37.48,3,construct,tertiary,1224.56,25944.65,997.3,
3151,F,married,21.47,2,IT,secondary,964.54,16062.66,906.82,
3152,M,married,69.93,3,retired,tertiary,2299.07,21020.7,1617.64,
3153,F,single,28,0,education,secondary,2856.08,5790.29,617.69,
3154,F,single,47.03,0,manuf,secondary,2543.81,2833.18,767.14,
3155,M,single,34.11,0,legal,postgrad,14756.3,40775.47,5925.74,
3156,F,single,30.35,0,legal,postgrad,14620.55,61217.4,4002.74,
3157,M,single,44.14,0,medicine,secondary,2125.16,24492.21,2300.19,
3158,M,divorced,31.15,1,government,secondary,2543.21,10534.69,1190.57,
3159,F,single,31.42,0,IT,tertiary,5471.59,20313.95,1934.05,
3160,M,divorced,62.97,2,government,tertiary,5755.44,19260.78,960.15,
3161,M,married,39.85,1,finance,tertiary,6440.86,26899.94,2562.64,
3162,F,widowed,49.17,0,construct,secondary,6440.86,26899.94,2562.64,
3163,M,divorced,66.97,2,retired,tertiary,3981.57,14993.13,1617.8,
3164,F,single,27.46,0,IT,postgrad,14119.61,29966.09,2352.28,
3165,F,single,20.96,0,finance,tertiary,7152.81,31129.36,2375.42,
3166,F,married,59.03,1,IT,tertiary,7211.81,25190.41,2488.96,
3167,F,single,36.62,0,IT,postgrad,11254.81,26904.95,1584.41,
3168,M,married,40.02,0,medicine,postgrad,10365.77,44906.62,4469.14,
3169,M,single,28,0,legal,tertiary,6891.88,22427.25,2548.32,
3170,F,married,49.02,2,finance,secondary,2000.76,24829.13,919.62,
3171,M,widowed,43.95,2,finance,tertiary,4328.1,37370.18,2465.36,
3172,M,single,28.07,0,construct,secondary,4328.1,37370.18,2465.36,
3173,F,single,36.81,0,medicine,postgrad,6415.91,58812.06,5295.41,
3174,M,widowed,70.16,1,retired,tertiary,4278.07,15014.61,277.9,
3175,F,single,34.07,0,construct,secondary,4278.07,15014.61,277.9,
3176,M,divorced,59.29,2,education,tertiary,3997.81,24977.51,910.33,
3177,F,divorced,40.27,1,manuf,tertiary,5220.36,24861.44,1202.98,
3178,F,divorced,43.15,0,government,postgrad,7997.39,43588.26,2269.77,
3179,M,married,47.76,1,government,secondary,2193.41,13038.06,577.24,
3180,F,divorced,32.51,4,finance,tertiary,6108.32,35962.09,2001.58,
3181,F,married,59.5,2,manuf,tertiary,4918.41,9590.74,1265.18,
3182,F,married,21.77,1,construct,tertiary,4918.41,9590.74,1265.18,
3183,M,married,48.37,1,finance,tertiary,2801.14,30778.23,606.51,
3184,M,divorced,39.69,1,manuf,tertiary,6223.95,35226.15,1476.47,
3185,M,married,34.35,0,government,secondary,1948.85,12238.84,800.25,
3186,F,single,43.42,0,education,tertiary,2967.2,19923.63,862.93,
3187,F,single,20.71,0,education,postgrad,5621.44,11594.87,1718.29,
3188,F,single,36.98,0,education,secondary,2340.94,2024.05,8.94,
3189,M,single,40.63,0,legal,secondary,3881.91,20089.2,1927.03,
3190,F,divorced,35.61,0,medicine,tertiary,2491.91,30210.8,2508.85,
3191,F,married,63.61,0,medicine,tertiary,5893.97,22172.28,1192.07,
3192,F,divorced,33.93,2,IT,secondary,2244.84,9424.83,1343.36,
3193,M,divorced,43.5,0,education,postgrad,4899.87,5654.37,2668.56,
3194,F,divorced,56.82,3,education,professional,3131.31,14464.93,652.41,
3195,F,divorced,61.47,4,finance,tertiary,9595,19773.93,1978.51,
3196,M,married,37.74,1,finance,secondary,2226.79,12739.54,1201.08,
3197,F,married,35.94,1,government,secondary,3622.6,9437.99,598.43,
3198,F,married,41.57,4,manuf,secondary,2516.87,9934.86,800.5,
3199,F,single,32.93,0,IT,postgrad,3878.74,15449.96,4531.58,
3200,F,widowed,53.38,1,government,secondary,1958.88,14343.82,784.91,
3201,F,married,37.05,0,government,tertiary,3961.45,19986.27,1979.78,
3202,M,divorced,71.16,1,retired,secondary,1409.67,13228.97,609.58,
3203,M,divorced,49.03,0,IT,tertiary,2932.51,29888.99,2527.12,
3204,F,married,31.19,1,legal,tertiary,10690.36,16533.99,1562.48,
3205,M,single,26.57,0,education,professional,9135.73,29647.39,4777.72,
3206,F,married,38.38,3,education,tertiary,6159.58,20864.6,1111.23,
3207,F,widowed,59.91,2,medicine,professional,15222.88,63370.67,7693.32,
3208,M,married,61.77,1,manuf,secondary,2499.41,16723.95,791.83,
3209,M,married,41.19,2,finance,secondary,2264.85,24973.97,2104.63,
3210,M,married,37.8,0,education,tertiary,4057.1,34532.84,1205.43,
3211,M,widowed,60.01,1,government,secondary,965.76,13213.84,797.78,
3212,F,divorced,40.59,0,government,secondary,1678.62,9861.76,1270.49,
3213,F,married,32.82,1,IT,professional,14417.33,33815.58,5330.74,
3214,F,divorced,47.77,0,medicine,secondary,3160.23,22060.89,1545.16,
3215,F,married,31.27,3,manuf,tertiary,3846.51,6896.14,1322.1,
3216,M,single,27.6,0,government,secondary,3449.8,11605.89,765.99,
3217,F,single,46.82,0,IT,postgrad,4390.15,41148.66,2763.76,
3218,M,single,35.29,0,finance,tertiary,6029.75,22648,977.35,
3219,F,divorced,60.73,2,finance,tertiary,7383.97,15992.16,1942.08,
3220,M,widowed,63.74,0,education,secondary,3457.22,12458.01,1136.36,
3221,M,widowed,67.13,2,retired,secondary,1352.28,5678.39,816.3,
3222,F,single,26.51,0,IT,secondary,1963.23,22697.83,1421.23,
3223,F,single,28.39,0,medicine,tertiary,7047.45,33832.11,2946.25,
3224,M,widowed,63.56,1,education,tertiary,3276.87,2459.44,1741.92,
3225,F,married,39.92,0,construct,tertiary,3276.87,2459.44,1741.92,
3226,F,widowed,68.97,1,retired,tertiary,4715.47,18413.82,580.94,
3227,M,married,32.18,0,IT,tertiary,6459.59,24561.79,953.73,
3228,F,married,22.22,0,legal,postgrad,4996.8,39744.54,3249.83,
3229,F,divorced,40.72,0,construct,postgrad,4996.8,39744.54,3249.83,
3230,F,married,39.7,0,IT,secondary,2225.13,21350.33,1324,
3231,M,single,27.97,0,government,tertiary,5715.35,27734.66,2199.65,
3232,M,widowed,85.16,1,retired,secondary,1230.74,16860.5,702.82,
3233,M,divorced,50.34,1,IT,secondary,2131.59,15536.83,1460.8,
3234,M,married,20.72,2,finance,tertiary,2229.23,23339.08,1076.88,
3235,M,married,40.01,0,finance,professional,9915.94,8530.51,5611.94,
3236,M,divorced,50.36,0,medicine,tertiary,4446.51,46022.67,2284.87,
3237,F,single,18.97,0,construct,secondary,4446.51,46022.67,2284.87,
3238,M,married,40.01,0,government,tertiary,6297.69,25589.49,1331.49,
3239,F,married,41.49,0,finance,secondary,2275.07,15510.89,430.7,
3240,M,single,28.87,0,legal,tertiary,11504.91,31682.71,2278.78,
3241,F,married,49.53,0,construct,secondary,11504.91,31682.71,2278.78,
3242,F,single,26.18,0,government,tertiary,4854.01,20856.83,963.28,
3243,F,divorced,27.72,2,manuf,postgrad,8164.99,37036.28,3839.36,
